2,LocalBranching,HardFixing
fl1400.tsp,20551.00,20460.00
nrw1379.tsp,59522.00,58948.00
pcb1173.tsp,60342.00,59398.00
fl1577.tsp,22869.00,22859.00
u1060.tsp,236557.00,232605.00
rl1304.tsp,270513.00,266238.00
vm1084.tsp,249557.00,244558.00
d1655.tsp,65272.00,65056.00
d1291.tsp,52704.00,52480.00
rl1323.tsp,282233.00,278426.00
rl1889.tsp,332442.00,332186.00
u1817.tsp,60706.00,60607.00
pr1002.tsp,269722.00,264505.00
vm1748.tsp,353710.00,350479.00
