3,Optimal,VNS,TabuFixed
rl1304.tsp,252948,261789,265948
pr1002.tsp,259045,267674,269220
vm1748.tsp,336556,350472,351069
rl1323.tsp,270199,277394,279990
u1060.tsp,224094,232071,236202
rl1889.tsp,316536,332973,330593
vm1084.tsp,239297,248764,249518
u1817.tsp,57201,59329,59972
nrw1379.tsp,56638,59562,59299
pcb1173.tsp,56892,59595,60137
fl1577.tsp,22249,22696,22745
fl1400.tsp,20127,20451,20543
d1291.tsp,50801,52599,52423
d1655.tsp,62128,64512,64982
